Capital,Attainment,Aspirational ,Community Consciousness,Spiritual,Social,Familial,Filial Piety,First Generation,Linguistic/ Pluriversal,Navigational ,Resistance,Perserverant 
Definition,"Something you would put on your resume (careers, jobs, degrees, or grades)","Describes desire for intrinsic goals/values (furthering goals within themselves). Talking about goals, hopes & dreams (even vaguely) can count as aspirational. ",Shared experience of social and educational inequity fosters solidarity with community,"students relied on their faith in God, gratitude, compassion and humanitarianism in challenging situations","The utilization of friends, social networks and peer interactions to gather insight and information; networking for professional development, a resource exchange","The family provides support through tangible support (e.g. food, financial support, etc.), validation, advice and role modeling","motivation (sometimes bordering on pressure, but not always) to accomplish something because of expectations/past actions of their family so that they can give back to their families",when the writer explicitly self-identifies as being the first in their family to attend college,the recognition that being bilingual helped them communicate and form relationships; includes intellectual and social skills; hard and soft skills.,"Identifying both being on a path or on a journey, and the overall path/journey leading to a specific goal. [The ability to navigate within multiple distinct worlds]",Students build resistance through experiences of microaggressions and culture shock in college.,"Identifying both an issue and identifying how they’re going to solve it (past & present tense). determination, self-reliance and inner confidence to help students embrace the sacrifices they made by going through college; Resilience; working hard; going through stress and sticking with it"
"Refined definitions summer 24



","Attainment refers to the concrete achievements or clearly defined goals related to education and career progression. These achievements or goals must be specific enough to reflect a clear step towards academic or professional advancement. Tangible goal, something you would put on your CV/resume (careers, jobs, fields, degrees, or grades). 
- specific tangible goals or actual achievements","- any kind of hopes and dreams
- focused on the motivations that drive peopel towards a goal
- desire to learn whatever
- get better understanding
","- defines specific marginalized community or group of people to give back to
- macro/ community at large

in paper 1, people were sometimes referring to SI as their community that they wanted to give back to and we counted it","- loose / broad desire to do good or give back
- sprirituality: idea of otherworldy, belief systems, faith vs hope
- spiritual beliefs, like having a purpose, believing in something ","- support from other people (includes instructors/advisor/club/not just peers)
- if it's not referring to family, it's social
- CAN be bi-directional (e.g. my groupmates and i help each other out) but not necessarily put that way very often
- interpersonal/ micro",also highlights struggles of family member(s) for the benefit of the student,current or future family,,code-switching,"Knowledge that allows the ability to navigate within distinct structures or worlds (i.e. use to strategize paths through higher education institutions). Connects past, present and future path(s), often drawing from these experiences to inform how they progress forward through the system. 

Knowledge that allows the ability to navigate within distinct structures or worlds (i.e. use to strategize paths through higher education institutions). Connects past, present and future path(s), often drawing from these experiences to inform how they progress forward through the system. (Elleanor’s definition)

INCLUDES SUB CATEGORIES of manifest and latent-- ADD EXAMPLES

https://docs.google.com/presentation/d/1g3T5caQGPD3GbIHKn3T5laAvvooC6G6_Zx05v7kd628/edit?usp=sharing

Right now, navigational only includes manifest navigational.
Latent is due to interaction with other capitals.",Paper 1 definition: Rejection of oppressive values and stereotypes; built through experiences of micro- and macro aggressions.,"Paper 1 definition: Determination, resilience, and inner confidence that help students embrace struggles and challenges and persist through them (past, present, or future)."
Notes,"they have to be explicit in their goals in order for it to count as attainment, rather than aspirational.
When speaking about grades: have to specify the grade, not just general ""get a good grade""","Can include students who are hopeful about their futures due to testimonies from validating agents on overcoming adversities (past, present, or future tense). Regarding grades: ""I'm taking this class to get a good grade"" is aspirational, not attainment",- Solidarity with community and the desire to give back to a community one identifies as being part of.,it involves humanitarianism towards communities that you are not directly involved with,,"The family provides support through tangible support (e.g. food, financial support, etc.), validation, advice and role modeling","can sometimes come across as a negative pressure, but doesn’t have to necessarily be negative. Filial piety and familial capital both describes a relationship between the writer and their family: familial capital describes support from family to writer. Filial capital describes support from writer to family.",“I’m the first in my family to go to college.” “I’m a first generation college student.”,,"applies to themselves navigating the system on their own, not them sharing their knowledge of navigating the system with others. If they are providing resources to others or having others provide resources to them, it would be social capital; may demonstrate distinct knowledge of the system and constructs itself through language related to fulfilling requirements, sometimes in the context of relating to life experience and/or connected to past/present/future paths. ","Resistance describes being resistant to systemic barriers as a whole (i.e. stereotypes).

so not resistance within family","*note on perseverance vs resistance: typically, resistance and perseverance will be present in the same thought, but not always. Perseverance describes a tangible example or instance where the writer faced an obstacle and overcame that obstacle, while also describing how they are going to overcome similar obstacles going forward. "
Phrases,“I’m here to get into medical school.” “I want to get a degree in Biology.”,“better understanding”; “better person”; “I want to…”; mentions “goals”; “I’m here in this class because I want to make sure I’m following along and not falling behind in chem.”,“give back”,"“I want to help people”
""I have a purpose and reason for being here""",meet people with similar aspiration and goals” “people who are part of your journey” “here to get extra help in my class”,“My family supports me.”  “My parents sacrificed so I could go to college.”,I’m going to school so I can get a career to support my family.” ,,“I study both Ethnic Studies and Biology” “Sometimes I study words in Spanish because it helps me remember the material better” “Speaking Spanish helps me connect with my community”,"“new path” or “paving a new path” “opening door for career” ""required for my major""; ""program requirements"", ""pre-requisite"", ""upper-division"", ""Although I had taken Physics during high school, I never really excelled in it because I found it too difficult to understand fully. This is why I am taking it again in college. I find it pretty hard to pay attention intently during class, so I didn't take AP Physics, which led me to taking it now...""; ""it’s a part of the GE requirement for the school and if i don’t complete it, then I won’t be able to graduate with a bachelor’s degree in Biology. """,“I know that as a child I never thought of education and a career for someone who is undocumented.” “I am here to accomplish something besides stereotypes.” “I feel that my people (of color and being female) are underrepresented.”,
Does NOT count (add more quotes here),"""Here b/c it's a requirement for my major""/""Here b/c it's a GE requirement"" does not count as attainment

""I want to gain critical thinking skills""(ASP instead)","""Im a very passionate person and thats why im here""

 "" I am glad I am taking this course because I think it will help me with my future career in environmental science"" (ATT  instead)",,"Community consciousness and spiritual are often confused.

Example of not strong enough to be spiritual: "" But maybe the reason why I am here is because I have a purpose. Maybe. I do not know what it is though, but it is a nice thought.""

This one IS spiritual: ""I know that I was put on this Earth to be/do something great. I can feel it, but I can not put my finger on it yet""","We didn't count this one but maybe we should??
""I wanted to experience a different environment and a different culture because not everything done in SoCal is done in NorCal."" F18.SCI111.03.14 published",Familial and filial could easily get switched.,Familial and filial could easily get switched. ,,NOT LP Cap: “I have a hard time understanding English since it’s not my first language”,I know that it is going to help me do better in my classes. /%/ I am here in this class because I want a little extra help in my physics course.,,"*note on perseverance & navigational: when students describe a challenge (e.g. struggling in a course) and talk about implementing a strategy to overcome that struggle (e.g. enrolling in SI to help with struggles in the future), that could be described as both navigational (for knowing how to navigate successfully in their classes) and perseverance (for knowing how to stick through stressful situations)"
ISSUES 2024,"- career field vs specific job -- how specific? -ATTAINMENT
- major in XYZ not attainment:  I want to pursue a major in biology, specifically physiology - NOT ATTAINMENT 
- obtain a college degree even if they don't say what field - ATTAINMENT
- get into UCSFís physical therapy program - is it or isn't it - ATTAINMENT
- requirement- makes it sound navigational (it is), but count as attainment if trying to get degree - ATTAINMENT, NAV (""to get my degree in computer science, i need to take xyz class"")
- if they say med school etc we basically marked it as attainment no matter how it's phrased -ATTAINMENT
- future oriented so being a major or getting an A previously doesn't count -ATTAINMENT
- ""get into grad program"" not specific enough?? - ASPIRATIONAL??
- ""get my degree"" is enough even if field not mentioned - ATTAINMENT
- "" To not get a degree now would be a monumental waste of both effort and funds."" --> are they saying they want to get their degree? -ATTAINMENT","- "" I am glad I am taking this course because I think it will help me with my future career in environmental science"" ATT & NAV but also ASP? no
- not nescessarily academic, can be pretty weak, any kind of hope, but not overall vibe, have specific quotes?
- prepare for the MCAT counts here
- get a better understanding goes here
- if it's ATT it's not automatically ASP
- ""i'm here for my education"" there's lots of NAV and ATT in the essay. is this by itself ASP? yes
- to learn physics, chemistry, science, whatever --> definitely ASP
- i'm intereted in learning blah is also ASP","- how explicit does tie to community need to be, e.g. 122 --> more than it is ;)","- everything has a reason type quote but doesn't say reason : i'm here for a reason YES, everything happens for a reason NO
- talks about spiritual stuff but not giving back-- is it or isn't it? yes...
- using their spirituality in their learning -- YES SPIRIT",,,"- sense of duty to parents to do e.g. CS even if they don't want to count
- provide for future family counts as filial
- ""because of family"" --> is that familial, filial, or both
•Sub-theme: collective endeavor, my role this is to achieve success so we can all move up to the social mobility",,,"- if it's someone else's capital, do we count it? e.g. parents? --> for paper 2 no it doesn't count
- path of interest into their career: past present future; i chose my major because ... --> other similar examples of how they came to want to do their thing --> put note in paper 2 that we broadened out navigational
- have to have some connection to a past experiece
- in the middle of figuring out path but didn't say so explicitly
- clubs, programs, internships is NAV of the system
- backstory of why they want to do what they want to do
- figuring out path, unsure of future-- NAV??
- narrating the decision making process out loud -- is it NAV?
- several steps: undergrad saying get master's and then open practice--> be careful about whether ATT or NAV
-""hopefully i can find my purpose"" --> NAV -- is it also ASP?
- i want to give others the thing i didn't have: only if they have the past-present-future through path
- not enough to say i want to do it bc i'm interested in it
- came here for XYZ major --> is that navigational? e.g. ethnic studies, apparel design. yes. but just saying their major is NOT attainment
","- do others' capitals count, eg parents fleeing oppression","- struggle and dedication not just one or the other
- working hard themselves because of thers' struggle-- does it count?
- non-academic perseverance counts too, e.g. overcoming anxiety"
,,,,,,,,,,,,
Examples,I’m here at San Francisco State University to receive an education excel in the sciences and further prepare me for medical school.,I’m here at San Francisco State University to receive an education excel in the sciences and further prepare me for medical school.,I’m here for the community I grew up in and the culture that cultirated the person I am.,I’m here to share what little wisdom I may have in order to help those who are lost the best that I can.,I want to bond with other students who are pursuing what I am and students with the same mindset.,"
They work so hard to support me and my siblings to send us all to college. ","I’m here for myself, my goals, my grade, my family and primarily for a better understanding.",I'm first generation.,,I'm taking chemistry because its required for my major (Biology) and I know it is something very much included in biology.,"prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible","We all have our personal issues outside of school that affect our performance, such as anxiety and depression for me. So knowing I’m not alone and having support is great."
,,,,"Yeah, so like spiritually I feel like I’m here for a big reason, and I think it’s mainly just to help other people.",,"
I mean my mother wouldn't have been on a boat for 2 weeks for me to not work hard for a better life.",I mean my mother wouldn't have been on a boat for 2 weeks for me to not work hard for a better life.,,,,,
,"I want to pursue a career in the medical field, specifically a pediatric doctor.",I want to do very well in Chem 115.,"I Hope to reach a position in which I can inspire and prove to all of the ""immigrants"" in the USA that achieving and surpassing struggle is possible.",I always wanted to be able to help people,I also feel that it will be a great place to meet people and form study groups since we’re going through the same classes.,I am also here so that my family sacrifices to put me through school aren't in vain.,I am also here so that my family sacrifices to put me through school aren't in vain.,I am the first generation to go to college so I want to show my parents my love for science and become something.,,"Chem 115 is a requirement for me because I am a biology major, and hope to pass a B or higher, so I figured this class could help me reach that goal.",,I am in this SCI-115-02 supplemental course because I know that I will end up struggling with future topics in chem-115.
